SUBJECT,CODE,TITLE,CREDIT,ATTRIBUTE,EXCLUSION STR,PREREQUISITE STR,COREQUISITE STR,DESCRIPTION,COLIST WITH STR,VECTOR,PREVIOUS CODE,OFFER IN
"ACCT","5630","Business Law","2","-","-","-","-","This course is designed for the study of Business Law with practical examples of the application of law in the real business world. The course materials cover  topics highly relevant to the business managers in the decision making process. The end goal is to elevate the student's level of understanding of the surrounding legal environment.","-","[2-0-0:2]","ACCT 690O","['2018-19 Fall', '2017-18 Summer', '2017-18 Fall', '2016-17 Spring']"
"ACCT","5640","Company Law","2","-","-","ACCT 5630","-","Law relating to companies registered in Hong Kong; company formation and records; share and loan capital; management and administration; reconstructions; mergers and take-overs; liquidation and receivership.","-","[2-0-0:2]","-","['2018-19 Fall', '2017-18 Fall']"
"ACCT","5650","Corporate Governance and Compliance","2","-","-","ACCT 5640","-","The course covers corporate governance at two levels. At the practice level, it builds on students' prior knowledge of company law, and introduces them to the various requirements of compliance by company boards as stipulated in the Hong Kong regulatory framework. At the company policies level, this course introduces students to broader aspects of corporate governance, focusing on the multitude and interaction of stakeholders and how their interests may be protected.","-","[2-0-0:2]","-","['2017-18 Spring', '2016-17 Spring']"
"ACCT","5710","Data Analytics in Accounting","2","-","-","-","-","Data analytics is the process of collecting, organizing and analyzing big data in order to discover useful information for different uses. This course aims to provide students with knowledge of the nature and role of data analytics and how important it is to accountants, and enable students to apply and understand big data issues and utilize data mining, data modeling, data analysis and data visualization techniques to solve accounting and business related issues.","-","[2-0-0:2]","-","['2018-19 Fall', '2017-18 Spring', '2016-17 Spring']"
"ACCT","6900C","Beyond the Headlines: Financial Reporting and Valuation Issues in M&A","2","-","-","ACCT 5100","-","This course attempts to provide a study of the fundamental accounting principles and problems related to financial reporting for mergers, acquisitions and consolidated enterprises. Within this context, the course will also examine topics in financing and valuation, corporate governance and business strategies.","-","[2-0-0:2]","-","['2017-18 Spring']"
"ACCT","6990","MPhil Thesis Research","0","-","-","-","-","Master's thesis research supervised by a faculty member.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.","-","-","ACCT 699","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"ACCT","7720","Doctoral Seminar - Research in Managerial Accounting, Auditing and Governance","4","-","-","-","-","Discussion of research in managerial accounting, auditing and corporate governance. Use of analytical and empirical tools in economics, finance and statistics to examine important accounting issues in the above areas.","-","[3-1-0:4]","ACCT 772","['2017-18 Spring']"
"ACCT","7730","Empirical Research in Accounting","4","-","-","-","-","Use of empirical research methods in economics, finance, and statistics to examine important accounting issues.","-","[3-1-0:4]","ACCT 773","['2016-17 Spring']"
"ACCT","7990","Doctoral Thesis Research","0","-","-","-","-","Original and independent doctoral thesis research.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.","-","-","ACCT 799","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"AESF","5210","Fluid Dynamics","3","-","MECH 5210, MESF 5210","-","-","Basic concepts of fluid flows, derivation of governing equations, viscous flow, potential flow, boundary layer, flow instability, transition to turbulence, turbulent boundary layer.","MESF 5210","[3-0-0:3]","-","['2018-19 Winter', '2017-18 Fall']"
"AESF","5310","Advanced Aerodynamics","3","-","-","-","-","Circulation, Kutta-Joukowski theorem, thin airfoil theory, lifting line theory, wingtip vortices, induced drag, elliptical wings, boundary layers, normal and oblique shocks, bow shocks, Prandtl-Meyer expansion fans, linearized potential flow theory, Prandtl-Glauert transformation, wave drag, transonic flow, swept wings, critical Mach number, supercritical airfoils.","-","[3-0-0:3]","-","['2018-19 Fall', '2017-18 Fall']"
"AESF","5320","Advanced Aircraft Structures","3","-","-","-","-","Aircraft structural design, wing structural details, elasticity, maneuver and gust loading, fatigue analysis, vibration theory, static and dynamic aeroelasticity, energy and matrix methods.","-","[3-0-0:3]","-","['2018-19 Fall', '2017-18 Fall', '2016-17 Spring']"
"AESF","5340","Aircraft Flight Dynamics","3","-","-","-","-","Aircraft equations of motion, small disturbance form, stability derivatives, longitudinal motion (phugoid mode, short period oscillation and approximate forms), lateral motion (roll subsidence, dutch roll, spiral mode and approximate forms), static stability of aircraft (longitudinal stability, directional stability, lateral stability), root locus plots and their use in designing feedback control systems, autopilots (pitch and roll angle control, effect on aircraft dynamic response and stability).","-","[3-0-0:3]","-","['2016-17 Spring']"
"AESF","5350","Aircraft Propulsion","3","-","-","-","-","Propulsion cycle analysis, with emphasis on gas turbines, basic component performance and function, engine installation effects, aero-thermodynamics of steady isentropic compressible flow, shock waves, diffusers and nozzles, centrifugal compressors, axial flow compressors, combustion chambers, thermoacoustics, fuels and control, turbines, thrust augmentation.","-","[3-0-0:3]","-","['2017-18 Spring', '2016-17 Spring']"
"AESF","5370","Composites and Nanocomposites","3","-","MESF 5370","-","-","This course is designed to provide fundamental understanding of fiber-reinforced composites (FRPs) and emerging nanocomposites technologies. The topics include constituent materials, microstructure-property relationships, fabrication and processing techniques, fundamental mechanics of stress transfer, lamination theory and failure mechanisms and fracture of FRPs in the first part. The topics in the second part include synthesis of nanoscale reinforcements, fabrication and processing techniques of nanocomposites; dispersion and functionalization of nanoreinforcements; interfacial adhesion; mechanical and functional properties of nanocomposites, and their design and applications.","MESF 5370","[3-0-0:3]","-","['2018-19 Fall', '2017-18 Fall']"
"AESF","5410","Advanced Mechanical Behavior of Materials","3","-","MECH 5410, MESF 5410","-","-","Relationships between microstructure and mechanical behavior in crystalline materials; temperature-dependent deformation in elasticity, viscosity and creep; embrittlement, fatigue and fracture of engineering materials; strengthening mechanisms in crystalline materials.","MESF 5410","[3-0-0:3]","-","['2017-18 Spring', '2016-17 Spring']"
"AESF","5610","Air Transport System Overview","3","-","-","-","-","The Air Transport System is made of several sub systems which are strongly regulated and very competitive. This course will enable student to understand how each system is organized, what its contribution is and how each system contributes to the global performance. This course aims at identifying all major actors of the Air Transport System.","-","[3-0-0:3]","-","['2018-19 Winter', '2017-18 Spring', '2016-17 Spring']"
"AESF","5620","Airplane Design, Development and Operations","3","-","-","-","-","The intent of this module is first to present the context in which the aircraft (and more precisely transport airplane) will have to operate; second, to introduce the development process of an aircraft and its specific features; and third to make a preliminary sizing of an airplane with respect to a given mission specification.","-","[3-0-0:3]","-","['2017-18 Winter', '2016-17 Winter']"
"AESF","5630","Avionics Technology","3","-","-","-","-","Avionics are today at the very heart of the aircraft, monitoring the flight itself and all the systems that are necessary for a safe and efficient flight. Upon completion of this module, students will be able to present an accurate overview of what is an avionics platform, its roles and functions. A brief history will be proposed as well as a description of the current systems and a look ahead on future trends.","-","[3-0-0:3]","-","['2017-18 Summer']"
"AESF","5880","Materials Processing and Properties Engineering","3","-","-","-","-","The course covers the fundamental principles involved in the processing of engineering materials, specifically metals, ceramics and polymers, from starting or raw materials through to the final functional forms. The course uses a unified approach that is based on the state of matter most central to the shaping of the material: melt, solid, powder, dispersion and solution, and vapor. With this approach, students learn processing fundamentals and appreciate the similarities and differences between the materials classes, and the resulting properties arising from selected process engineering.","-","[3-0-0:3]","-","['2017-18 Spring']"
"AESF","5930","Finite Element Methods","3","-","CIVL 5390, MECH 5930, MESF 5930","-","-","Finite element formulation; variational principles for structural and continuum mechanics; numerical interpolation and integration; plane stress and plane strain analysis; plate bending and three dimensional solids; solution of large systems of algebraic equations.","MESF 5930","[3-0-0:3]","-","['2018-19 Fall', '2016-17 Spring']"
"AESF","6910A","Aviation Economics","3","-","MECH 6910N","-","-","This course aims to provide the students with some basic knowledge and methods on the economic aspects of the civil aviation sector. A review on the economic aspects in the aerospace sector is first given. This is followed by market analysis methods, analysis of development cost of new technologies and its impact on aircraft project. Development schedule, the unit cost of aircraft, and life cycle cost of aircraft programs are also discussed. From airlines’ perspective, the concept and methods of operating cost are described, along with discussions on differentiation factors between low cost and major airlines. Other areas covered include cost estimation relations, economic implications of environmental impact, and engine program cost. Value driven design and design for economics is given in the last few lectures to illustrate that how economic analysis methods can be used in aircraft design process to provide added value. Some brief discussions on UAV costing is also given.","-","[3-0-0:3]","-","['2017-18 Fall']"
"AESF","6910B","Technology Project and Product Management","3","-","-","-","-","Comprehensive, balanced coverage of the behavioral and quantitative sides of AE product development and project management on key topical areas including system methodology; systems development process; management methods, procedures, and systems; and organization and human behavior. The course will cover the guiding principles of project management practice; the sequence of stages in the life of a project; the methods, procedures, and systems for defining, planning, scheduling, controlling, and organizing project activities; the organizational, managerial, and human behavioral issues in AE project management. The course will use these methods and principles in general and AE product development cases studies.","-","[3-0-0:3]","-","['2017-18 Spring']"
"AESF","6910C","Computational Intelligence Methods for Aerospace Design","3","-","-","-","-","With an introduction to the simulation based design framework currently being adopted in aerospace industry. This course will cover key elements in modern, simulation-based, aerospace design framework, such as numerical optimisation, artificial intelligence and system engineering. The course will cover the computational modeling of geometries, basic concepts and models of aircraft flight physics, numerical methods in design, gradient-based design search and stochastic optimization methods, system evaluation methods, artificial intelligence methods include fuzzy logic, neural networks and reinforced learning. The course will introduce two case studies in aerospace design to illustrate the concepts and methods.","-","[3-0-0:3]","-","['2017-18 Spring']"
"AESF","6910D","Aero Engine Overhaul - Certification and Airworthiness","3","-","-","-","-","The course aims to provide a fundamental knowledge of the requirements in aviation regulatory certifications and airworthiness from the perspective of an MRO organisation. The course comprises of the understanding of an aero engine overhaul organisation’s operation, and the appreciation of the regulatory requirements and the principles of airworthiness as applied to the process of aero engine certification. Case studies and discussions of the lessons learnt will also be included in the lecture.","-","[3-0-0:3]","-","['2018-19 Fall']"
"AESF","6950A","Aeronautical Independent Project","3","-","-","-","-","An independent research project on Aeronautical Engineering carried out under the supervision of a faculty member.","-","[3 credits]","-","['2018-19 Fall', '2017-18 Summer', '2017-18 Spring', '2017-18 Fall']"
"AESF","6950B","Aeronautical Independent Project","6","-","-","-","-","An independent research project on Aeronautical Engineering carried out under the supervision of a faculty member.","-","[6 credits]","-","['2018-19 Fall', '2017-18 Summer', '2017-18 Spring', '2017-18 Fall', '2016-17 Summer', '2016-17 Spring']"
"BIBU","1010","Biotechnology and Business Seminar","1","-","-","-","-","Study on selected current topics in biotechnology and business through attending seminars in related areas. This course provides a platform for students to interact and learn from different academic and practitioner leaders in both biotechnology and business fields. Graded P or F. For BIBU students only.","-","-","-","['2017-18 Spring']"
"BIEN","2010","Application of Engineering in Life Science","3","(S&T)","-","-","-","This course is designed as an introductory course in biomedical engineering. The aim of this course is to present some of the basic science and human physiology knowledge used by biomedical engineers and illustrates the first steps in applying this knowledge to solve problems in human medicine. The second goal of this course is to link knowledge of basic science and engineering to fields of specialization and current research. This course also introduces the sub-specialties in biomedical engineering and through real-life examples to emphasize the types of problems biomedical engineers solve.","-","-","-","['2016-17 Spring']"
"BIEN","2310","Modeling for Chemical and Biological Engineering","3","-","-","MATH 1014 OR MATH 1020 OR MATH 1024","-","Modeling of physical, chemical and biological processes. Balance Equations. Dimensional and scaling analysis. Analytical and numerical solutions to initial and boundary value problems. Use of computer tools for engineering calculations.","-","-","-","['2018-19 Fall']"
"BIEN","3020","Advanced Biological Physics","3","-","-","BIPH 2010 AND (LIFS 2010 OR LIFS 2040) AND (PHYS 1114 OR PHYS 1314)","-","Biological physics involves the application of physics to achieve an understanding of life processes. This is the second of the two core courses series that will prepare advanced undergraduates for research and technical work in Biological physics. It covers advanced biological physics such as molecular and cellular biological physics, photophysics, single-molecule biophysics, medical biophysics, membrane biological physics, neurobiophysics, biostatistics, biomathematics, bioinformatics, computational biology and protein engineering. At the conclusion of this course, students will be able to critically assess primary research literature written for a general scientific audience. They will also be prepared for mentored practical research investigations or professional job related to biological physics.","-","-","-","['2018-19 Fall']"
"BIEN","3910","Bioengineering Laboratory","4","-","-","BIEN 2410 AND BIEN 2610","BIEN 3410","This course provides hands-on experience with molecular biotechnology, biomolecular engineering, biosensors, biomedical devices, and bioanalytical techniques. Laboratory experiments including cell culture, genetic engineering techniques, bioanalytical methods, biosensors and biomedical devices, with additional emphasis on data analysis. For students of the CBE department only.","-","-","-","['2018-19 Fall']"
"BIEN","4000A","Introduction to Neural Engineering and Bio-robotics","3","-","-","MATH 2111","-","This is an introductory course for neural engineering and bio-robotics. The course introduces the fundamental principles on the neuroscience, the technologies and implementations of neural engineering, as well as the design of the neuromorphic and brain-based robots. The topics include cellular mechanisms, neuroanatomy, sensation and perception, object recognition and action control, neural coding theory, neural network models, plasticity and learning, neural interface and rehabilitation, neuromorphic robots and brain-based robots.","-","-","-","['2017-18 Spring']"
"BIEN","5001","Responsible Conduct of Biomedical and Biotechnology Research","3","-","LIFS 5001","-","-","This course will present some of the most common ethical issues encountered in biomedical research and biotechnology. Students will engage in active discussion to provide deeper understanding of each issue. The objective of this course is to raise awareness of the ethical issues around biomedical/bioengineering research, and encourage critical and responsible consideration of research conduct. Topics covered will fall into three categories: 1) Research integrity, 2) Applied ethics in biological research and biotechnology, and 3) Contemporary ethical issues arisen from emerging biotechnologies. Graded P or F.","LIFS 5001","[3-0-0:3]","-","['2016-17 Spring']"
"BIEN","5010","Molecular Biology for Bioengineering","3","-","-","-","-","The course introduces the basics of cell biology, molecular biology techniques, and discusses the principles of macromolecular interactions in those contexts. We will also discuss various applications of these techniques and how combined with engineering concepts, they have contributed to innovations and breakthrough tools in the world of basic research and medicine. Topics to cover include: overview of basic molecular biology and macromolecular interactions; basic biophysical structures, imaging and characterization techniques; molecular engineering; biodevices; and genomics. Active student discussion is required and students will also do a final project team presentation on a current bioengineering topic.","-","[3-0-0:3]","BIEN 501","['2017-18 Spring']"
"BIEN","5040","Introduction to Bioengineering Research","3","-","CENG 600Q","-","-","Bioengineering is an interdisciplinary field that integrates biological sciences, physics, chemistry, medicine and engineering. This course will provide a survey of bioengineering research areas to provide our research postgraduate students a broad appreciation of different areas. Topics are to be chosen from the following areas: bioinformatics; medical imaging and analysis; molecular, cell and tissue engineering; biomaterials and drug delivery; biochemical engineering; lab on chip and biosensors; and medical devices. The course aims to help student recognize and understand how knowledge from science and engineering interface in this interdisciplinary application.","-","[3-0-0:3]","BIEN 504","['2018-19 Fall', '2017-18 Fall']"
"BIEN","6770","Professional Development in Bioengineering","1","-","-","-","-","This one-credit course aims at providing research postgraduate students with basic training in teaching skills, research management, career development, and related professional skills. This course consists of a number of mini-workshops and seminars. Some department-specific workshops/seminars will be coordinated by Bioengineering Program. Graded PP, P or F.","-","[0-1-0:1]","-","['2017-18 Fall', '2016-17 Spring']"
"BIEN","6800L","Bioengineering Seminar","0","-","-","-","-","Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in their seminar presentation in accordance with the program requirements. Graded P or F.","-","[0-1-0:0]","-","['2016-17 Spring']"
"BIEN","6800M","Bioengineering Seminar","0","-","-","-","-","Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in their seminar presentation in accordance with the program requirements. Graded P or F.","-","[0-1-0:0]","-","['2017-18 Fall']"
"BIEN","6800N","Bioengineering Seminar","0","-","-","-","-","Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in their seminar presentation in accordance with the program requirements. Graded P or F.","-","[0-1-0:0]","-","['2017-18 Spring']"
"BIEN","6800O","Bioengineering Seminar","0","-","-","-","-","Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in their seminar presentation in accordance with the program requirements. Graded P or F.","-","[0-1-0:0]","-","['2018-19 Fall']"
"BIEN","6930A","Global Health Ethics Case Studies","3","-","-","-","-","Through real-time videoconferencing, this online course aims at helping students learn the definitions of global health ethics and bioethics, the protocol and systems in place to ensure adherence to ethical principles, and how different stakeholders and cultures may interpret ethics differently. This course is co-offered with the University of Southern California and involves universities in Mainland China, Mexico, and Philippines. Besides nine joint LIVE sessions, UST students will also meet the UST instructors face-to-face for the introduction of background knowledge, reading and understanding of cases, and technical support.","-","[3-0-0:3]","-","['2018-19 Fall', '2017-18 Fall']"
"BIEN","6930B","Data Science for Biology and Medicine","3","-","-","-","-","This is a course for the application of data science in biomedical research. The course will introduce the fundamental principles on data science, the technologies and implementations of data mining, as well as the mathematical modeling of several practical questions in biomedical research. The topics include introduction to biomedical data, data visualization, regression methods, classification methods, complex network, protein-protein interaction network, transcription regulatory network, and gene oncology analysis. Approval of the course instructor is needed for students to enroll in this course.","-","[3-0-0:3]","-","['2017-18 Spring']"
"BIEN","6990","MPhil Thesis Research","0","-","-","-","-","Master's thesis research supervised by a faculty member.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.","-","-","BIEN 699","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"BIEN","7990","Doctoral Thesis Research","0","-","-","-","-","Original and independent doctoral thesis research.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.","-","-","BIEN 799","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"BIPH","2010","Introductory Biological Physics","3","-","-","(LIFS 1901 OR level 3 or above in HKDSE 1xBiology) AND (PHYS 1111 OR PHYS 1112 OR PHYS 1312)","-","This course introduces the use of physical methods in the study of biological systems, including macromolecules, membranes, nerves, muscle, photosynthetic systems and visual systems. The biological systems to which the methods are applied will be surveyed and current interpretations of their structure and function will be discussed. The treatment of biological phenomena will be based on physical principles with appropriate mathematics when necessary. The emphasis will be on the applications of physics in biology.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"BIPH","3010","Advanced Biological Physics","3","-","-","BIPH 2010 AND (LIFS 2010 OR LIFS 2040) AND (PHYS 1114 OR PHYS 1314)","-","Biological physics involves the application of physics to achieve an understanding of life processes. This is the second of a two-course series that will prepare advanced undergraduates for research and technical work in Biological physics. It covers advanced biological physics such as molecular and cellular biological physics, photophysics, single-molecule biophysics, medical biophysics, membrane biological physics, neurobiophysics, biostatistics, biomathematics, bioinformatics, computational biology and protein engineering. At the conclusion of this course, students will be able to critically assess primary research literature written for a general scientific audience. They will also be prepared for mentored practical research investigations or professional job related to biological physics.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"BIPH","4010","Principles of Quantitative Instrumentation","3","-","-","BIPH 3010","-","This course aims to provide a general understanding of modern instruments used in biological research with special emphasis on bright-field and fluorescence light microscopes, electron microscopy, X-ray crystallography, NMR, MRI, mass spectrometer, and electrophysiology. The approach is a practical one geared to students who are or will be using these instruments in research. The course consists of both lectures and demonstration. During the lectures, students learn basic principles of biological instrumentation and the performance of the instruments. In the demonstration, students apply the understanding gained during the lectures and learn how the instrumentation is used to address biological questions.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
